area,peri,shape,perm
4990,2791.9,0.09032960000000001,6.3
7002,3892.6,0.148622,6.3
7558,3930.66,0.183312,6.3
7352,3869.32,0.11706300000000001,6.3
7943,3948.54,0.12241700000000001,17.1
7979,4010.15,0.167045,17.1
9333,4345.75,0.189651,17.1
8209,4344.75,0.164127,17.1
8393,3682.04,0.203654,119.0
6425,3098.65,0.162394,119.0
9364,4480.05,0.150944,119.0
8624,3986.24,0.148141,119.0
10651,4036.54,0.228595,82.4
8868,3518.04,0.231623,82.4
9417,3999.37,0.172567,82.4
8874,3629.07,0.153481,82.4
10962,4608.66,0.20431400000000002,58.6
10743,4787.62,0.262727,58.6
11878,4864.22,0.200071,58.6
9867,4479.41,0.14481,58.6
7838,3428.74,0.113852,142.0
11876,4353.14,0.291029,142.0
12212,4697.65,0.24007699999999998,142.0
8233,3518.44,0.161865,142.0
6360,1977.39,0.280887,740.0
4193,1379.35,0.179455,740.0
7416,1916.24,0.191802,740.0
5246,1585.42,0.13308299999999998,740.0
6509,1851.21,0.225214,890.0
4895,1239.66,0.341273,890.0
6775,1728.14,0.311646,890.0
7894,1461.06,0.276016,890.0
5980,1426.76,0.197653,950.0
5318,990.388,0.326635,950.0
7392,1350.76,0.154192,950.0
7894,1461.06,0.276016,950.0
3469,1376.7,0.17696900000000002,100.0
1468,476.32199999999995,0.438712,100.0
3524,1189.46,0.16358599999999998,100.0
5267,1644.96,0.253832,100.0
5048,941.543,0.32864099999999996,1300.0
1016,308.642,0.230081,1300.0
5605,1145.69,0.464125,1300.0
8793,2280.49,0.42047700000000005,1300.0
3475,1174.11,0.200744,580.0
1651,597.808,0.262651,580.0
5514,1455.88,0.182453,580.0
9718,1485.58,0.20044700000000001,580.0
